2026-07-31 22:18:22.497 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-9 - Start completed.
2026-07-31 22:18:23.242 [restartedMain] INFO  com.example.test.TestApplication - Started TestApplication in 1.239 seconds (process running for 1565.468)
2026-07-31 22:18:39.942 [http-nio-8080-exec-4] INFO  c.e.t.c.UserOrganizationController - Setting organizationId with user's organization id: 1
2026-07-31 22:18:39.975 [http-nio-8080-exec-4] INFO  c.e.t.m.s.i.UserOrganizationServiceImpl - Creating new user entity to database for full name: Nguyen Van p
2026-07-31 22:21:08.266 [Thread-28] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-9 - Shutdown initiated...
2026-07-31 22:21:08.274 [Thread-28] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-9 - Shutdown completed.
2026-07-31 22:21:08.409 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
2026-07-31 22:21:08.409 [restartedMain] INFO  com.example.test.TestApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-31 22:21:08.876 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Starting...
2026-07-31 22:21:08.906 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-10 - Added connection org.postgresql.jdbc.PgConnection@7a10dcaa
2026-07-31 22:21:08.906 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Start completed.
2026-07-31 22:21:09.651 [restartedMain] INFO  com.example.test.TestApplication - Started TestApplication in 1.297 seconds (process running for 1731.876)
2026-07-31 22:21:11.085 [Thread-35] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Shutdown initiated...
2026-07-31 22:21:11.088 [Thread-35] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-10 - Shutdown completed.
2026-07-31 22:21:11.170 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
2026-07-31 22:21:11.170 [restartedMain] INFO  com.example.test.TestApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-31 22:21:11.529 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-11 - Starting...
2026-07-31 22:21:11.567 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-11 - Added connection org.postgresql.jdbc.PgConnection@6173aae2
2026-07-31 22:21:11.567 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-11 - Start completed.
2026-07-31 22:21:12.198 [restartedMain] INFO  com.example.test.TestApplication - Started TestApplication in 1.049 seconds (process running for 1734.424)
2026-07-31 22:21:32.124 [Thread-39] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-11 - Shutdown initiated...
2026-07-31 22:21:32.129 [Thread-39] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-11 - Shutdown completed.
2026-07-31 22:21:32.244 [restartedMain] INFO  com.example.test.TestApplication - Starting TestApplication using Java 21.0.11 with PID 10892 (C:\Users\ADMIN88\jvabackend\test\build\classes\java\main started by ADMIN88 in C:\Users\ADMIN88\jvabackend\test)
